Time,601_volt,620_volt,623_volt,634_volt,640_volt,647_volt,670_volt,671_volt,673_volt,674_volt,686_volt
08:19.0,-0.021004,-0.54,-0.021996,-0.00099945,-0.089996,0,0,0.086998,-0.042999,-0.13,-0.173
08:19.1,0.021996,-0.432,0,-0.00099945,0,0,-0.022003,0.086998,-0.065002,-0.173,-0.173
08:19.2,0,-0.389,0,-0.00099945,0,0.022003,-0.022003,0.086998,-0.065002,-0.173,-0.173
08:19.3,-0.021004,-0.346,0,-0.00099945,0,-0.021004,-0.022003,0.086998,-0.087006,-0.151,-0.151
08:19.4,-0.021004,-0.367,0,-0.00099945,-0.089996,-0.021004,-0.043999,0.064995,-0.065002,-0.173,-0.151
08:19.5,-0.043007,-0.367,0,-0.00099945,-0.089996,0,-0.043999,0.064995,-0.065002,-0.108,-0.195
08:19.6,0,-0.324,0.021004,-0.00099945,0,0,-0.043999,0.064995,-0.087006,-0.13,-0.195
08:19.7,0,-0.367,0.021004,0,0,0.022003,0,0.064995,-0.108,-0.108,-0.195
08:19.8,-0.021004,-0.497,0.021004,0,0,0,0,0.064995,-0.065002,-0.13,-0.195
08:19.9,0,-0.562,0.021004,0,-0.089996,0.022003,0.020996,0.10799,-0.042999,-0.151,-0.216
08:20.0,-0.064003,-0.64799,0,-0.00099945,0,0,0.020996,0.10799,-0.042999,-0.13,-0.195
08:20.1,-0.064003,-0.583,0.021004,-0.00099945,0,-0.065002,0.020996,0.10799,-0.065002,-0.173,-0.195
08:20.2,-0.064003,-0.64799,0,-0.00099945,0,-0.085999,0,0.086998,-0.042999,-0.151,-0.216
08:20.3,-0.043007,-0.627,0,-0.00099945,0,-0.065002,0.020996,0.10799,-0.065002,-0.151,-0.216
08:20.4,-0.086006,-0.518,0.021004,-0.00099945,0,-0.021004,0,0.086998,-0.042999,-0.151,-0.216
08:20.5,-0.064003,-0.475,0,-0.00099945,0,0,0.020996,0.10799,-0.022003,-0.13,-0.216
08:20.6,-0.064003,-0.41,0,-0.00099945,-0.089996,-0.021004,0.020996,0.10799,-0.042999,-0.085999,-0.216
08:20.7,-0.064003,-0.389,0,-0.00099945,-0.089996,0,0.020996,0.10799,-0.042999,-0.13,-0.238
08:20.8,-0.064003,-0.324,0,0,-0.089996,0.022003,0.020996,0.086998,-0.065002,-0.151,-0.216
08:20.9,-0.043007,-0.281,0,0,-0.089996,0.022003,0,0.10799,-0.065002,-0.151,-0.216
08:21.0,-0.043007,-0.324,0,0,-0.089996,0.022003,0,0.13,-0.065002,-0.108,-0.238
08:21.1,-0.043007,-0.30199,0,0,-0.089996,0.022003,0,0.13,-0.042999,-0.13,-0.238
08:21.2,-0.021004,-0.324,0,0,-0.089996,0.022003,0.020996,0.10799,-0.042999,-0.085999,-0.216
08:21.3,0,-0.346,0,0,-0.089996,0.042999,0.042999,0.10799,-0.087006,-0.108,-0.195
08:21.4,-0.021004,-0.346,0,-0.00099945,-0.089996,0.022003,0,0.10799,-0.065002,-0.085999,-0.195
08:21.5,0.021996,-0.432,0,-0.00099945,-0.089996,0.022003,0.042999,0.13,-0.042999,-0.108,-0.173
08:21.6,0,-0.432,0,-0.00099945,-0.089996,0.042999,0.042999,0.13,-0.065002,-0.065002,-0.173
08:21.7,0,-0.346,0,-0.00099945,-0.089996,0.022003,0.065002,0.13,-0.042999,-0.085999,-0.151
08:21.8,0.021996,-0.346,0,-0.00099945,-0.089996,0.022003,0.065002,0.152,-0.042999,-0.13,-0.173
08:21.9,0.021996,-0.346,-0.021996,-0.00099945,-0.089996,0.022003,0.065002,0.10799,-0.065002,-0.13,-0.173
08:22.0,0.021996,-0.324,-0.021996,-0.00099945,0.00099945,0.042999,0.065002,0.10799,-0.065002,-0.108,-0.195
08:22.1,0,-0.367,0,-0.00099945,-0.089996,0.042999,0.065002,0.13,-0.065002,-0.108,-0.195
08:22.2,0,-0.45399,0,-0.00099945,0.00099945,0.042999,0.042999,0.10799,-0.065002,-0.108,-0.195
08:22.3,0,-0.432,0,-0.00099945,-0.089996,0.022003,0.042999,0.10799,-0.042999,-0.13,-0.195
08:22.4,0,-0.54,0,-0.00099945,-0.089996,0.022003,0.042999,0.13,-0.042999,-0.108,-0.195
08:22.5,0.021996,-0.475,-0.021996,-0.00099945,-0.089996,0.022003,0.020996,0.10799,-0.065002,-0.108,-0.195
08:22.6,0.021996,-0.497,-0.021996,-0.00099945,-0.089996,0.042999,0.020996,0.10799,-0.087006,-0.065002,-0.195
08:22.7,0.021996,-0.497,-0.021996,-0.00099945,-0.089996,0.065002,0.042999,0.13,-0.065002,-0.085999,-0.195
08:22.8,0,-0.518,0,-0.00099945,-0.089996,0.042999,0.042999,0.13,-0.065002,-0.085999,-0.151
08:22.9,-0.021004,-0.562,-0.021996,-0.00099945,-0.089996,0,0.065002,0.10799,-0.065002,-0.085999,-0.173
08:23.0,0,-0.497,0,-0.00099945,0.00099945,0.022003,0.065002,0.10799,-0.087006,-0.085999,-0.173
08:23.1,0,-0.432,0,-0.00099945,-0.089996,0.022003,0.065002,0.10799,-0.087006,-0.065002,-0.173
08:23.2,0,-0.41,0,-0.00099945,0.00099945,0.022003,0.065002,0.10799,-0.087006,-0.108,-0.173
08:23.3,0,-0.30199,0.021004,-0.00099945,-0.089996,0.022003,0.065002,0.13,-0.065002,-0.085999,-0.173
08:23.4,0,-0.30199,0.021004,-0.00099945,0.00099945,0.042999,0.065002,0.13,-0.087006,-0.085999,-0.173
08:23.5,0,-0.30199,-0.021996,-0.00099945,-0.089996,0.042999,0.065002,0.10799,-0.065002,-0.065002,-0.173
08:23.6,0,-0.324,0,-0.00099945,0.00099945,0.022003,0.065002,0.13,-0.065002,-0.085999,-0.173
08:23.7,0,-0.324,0,0,0.00099945,0.022003,0.065002,0.13,-0.087006,-0.085999,-0.173
08:23.8,-0.021004,-0.389,0,0,-0.089996,0.042999,0.065002,0.13,-0.108,-0.085999,-0.151
08:23.9,0.021996,-0.389,0,0,-0.089996,0.065002,0.042999,0.13,-0.108,-0.065002,-0.173
08:24.0,0.086998,-0.346,0,-0.00099945,-0.089996,0.042999,0.042999,0.13,-0.087006,-0.085999,-0.173
08:24.1,0.064995,-0.389,0,-0.00099945,-0.089996,0.042999,0.042999,0.10799,-0.108,-0.065002,-0.173
08:24.2,0.086998,-0.41,0,-0.00099945,-0.089996,0.042999,0.042999,0.10799,-0.087006,-0.065002,-0.195
